Predictor,Pearsons_r,p_value,CI_Lower,CI_Upper
Neutral-Near,0.0507577051865418,0.700129808931858,-0.205819732668515,0.300805436066562
Neutral-Intermediate,-0.0812385663751839,0.537198374470389,-0.328389101173454,0.176323419960747
Neutral-Far,0.0299673841210028,0.82019486350624,-0.22567457976945,0.281748135614945
Fear-Near,-0.102692686083264,0.434926939508682,-0.347554484842836,0.155281160433861
Fear-Intermediate,-0.195019295957863,0.135381123175916,-0.42776117241536,0.0619743917581665
Fear-Far,0.198301575567751,0.128799491558213,-0.058572465346151,0.430546673477567
Scrambled-Near,0.148112087300951,0.258737684626505,-0.109947672032844,0.387464513717599
Scrambled-Intermediate,0.0674840623025114,0.608428595673518,-0.189691163301897,0.315993933604224
Scrambled-Far,-0.162807401276937,0.213910495728026,-0.400188003113292,0.0950466058410381
CompositeGradient,0.0232372119488187,0.860111648586143,-0.232056741756889,0.275536112934818
